,pmid,doi,author,publicationyear,population,studyaim,studydesign,studysetting,totalsamplesize,sex,primaryoutcome,secondaryoutcomes,note,meanweight,meanwt_sd,lowerboundweight,upperboundweight,rangeweight,meanBMI,meanBMI_sd,lowerboundBMI,upperboundBMI,rangeBMI,meanDBP,meanDBP_sd,lowerboundDBP,upperboundDBP,meanSBP,meanSBP_sd,lowerboundSBP,upperboundSBP,meanAGE,meanAGE_sd,noofFEMALES,noofMALES,changeinbabaseBMI,changeinbabaseDBP,changeinbabaseSBP,extracted_portion,intervention_control,pmid_author_intervention,Males;Females,Sample(n),"Age (mean,sd)","Weight (mean,sd)","BMI (mean,sd)","SBP (mean,sd)","DBP (mean,sd)"
0,21893621,10.7326/0003-4819-155-5-201109060-00005, Torgeir T. Søvik,2011,Mixed,To determine whether duodenal switch leads to greater weight loss and more favorable improvements in cardiovascular risk factors and quality of life than gastric bypass.,Randomised controlled trial,Norway_Sweden,60.0,Both,Change in BMI after 2 years,"anthropometric measures; concentrations of blood lipids, glucose, insulin, C-reactive protein, and vitamins; and health-related quality of life and adverse events",Patients with a body mass index between 50 and 60 kg/m2 were randomly assigned to undergo gastric bypass or duodenal switch; aged 20 to 50 years.,162.0,24.1,0.0,0.0,,54.8,3.24,48.4496,61.1504,,82.6,11.8,59.471999999999994,105.728,134.0,20.0,94.8,173.2,35.2,7.0,23.0,8.0,0.0,0.0,0.0,GB,intervention,21893621_ Torgeir T. Søvik_GB,8.0;23.0,31.0,35.2(7.0),162.0(24.1),54.8(3.24),134.0(20.0),82.6(11.8)
1,21893621,10.7326/0003-4819-155-5-201109060-00005, Torgeir T. Søvik,2011,Mixed,To determine whether duodenal switch leads to greater weight loss and more favorable improvements in cardiovascular risk factors and quality of life than gastric bypass.,Randomised controlled trial,Norway_Sweden,60.0,Both,Change in BMI after 2 years,"anthropometric measures; concentrations of blood lipids, glucose, insulin, C-reactive protein, and vitamins; and health-related quality of life and adverse events",Patients with a body mass index between 50 and 60 kg/m2 were randomly assigned to undergo gastric bypass or duodenal switch; aged 20 to 50 years.,162.0,19.7,0.0,0.0,,55.2,3.49,48.3596,62.040400000000005,,88.3,12.9,63.016,113.584,140.0,18.7,103.348,176.652,36.1,5.26,19.0,10.0,0.0,0.0,0.0,DS,control,21893621_ Torgeir T. Søvik_DS,10.0;19.0,29.0,36.1(5.26),162.0(19.7),55.2(3.49),140.0(18.7),88.3(12.9)
2,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,"To assess the additional effect of sudden visceral fat reduction by omentec- tomy on metabolic syndrome, acute-phase reactants, and inflammatory mediators in patients with grade III obesity (G-III O) undergoing laparoscopic Roux-en-Y gastric bypass (LRYGB)",A randomised trial,Mexico,24.0,Both,"Components of metabolic syndrome: BMI, SBP, DBP,Glucose, Insulin, Total cholesterol, triglycerides and lipoproteins","Inflammatory mediators(IL6, CRP, leptin, adiponectin)","Patients with metabolic syndrome with grade III obesity some with diabetes, dyslipidemia and hypertension.",0.0,0.0,0.0,0.0,,44.9,3.1,38.824,50.976,,85.5,7.9,70.016,100.984,131.8,9.8,112.59200000000001,151.008,36.8,12.9,8.0,3.0,0.0,0.0,0.0,LRYGB_Omentectomy,control,20587720_Miguel F Herrera_LRYGB_Omentectomy,3.0;8.0,11.0,36.8(12.9),0.0(0.0),44.9(3.1),131.8(9.8),85.5(7.9)
3,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,"To assess the additional effect of sudden visceral fat reduction by omentec- tomy on metabolic syndrome, acute-phase reactants, and inflammatory mediators in patients with grade III obesity (G-III O) undergoing laparoscopic Roux-en-Y gastric bypass (LRYGB)",A randomised trial,Mexico,24.0,Both,"Components of metabolic syndrome: BMI, SBP, DBP,Glucose, Insulin, Total cholesterol, triglycerides and lipoproteins","Inflammatory mediators(IL6, CRP, leptin, adiponectin)","Patients with metabolic syndrome with grade III obesity some with diabetes, dyslipidemia and hypertension.",0.0,0.0,0.0,0.0,,44.5,4.3,36.072,52.928,,89.0,3.9,81.356,96.644,134.6,6.9,121.076,148.124,39.8,11.1,10.0,1.0,0.0,0.0,0.0,LRYGB,intervention,20587720_Miguel F Herrera_LRYGB,1.0;10.0,11.0,39.8(11.1),0.0(0.0),44.5(4.3),134.6(6.9),89.0(3.9)
4,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,To compare the treatment modalities in terms of changes in BMI and telomere length (as a possible biomarker of life expectan cy) and resolution of MetS components.,RCT,Kazakhstan,60.0,Both,Change in BMI,"Change in leukocyte telomere length and other MetS components including insulin resistance, dyslipidemia and hypertension","Patients with BMI ranging between 35 and 50, with MetS characterised by hypertension, prediabetic with obesity and T2D ",101.13,26.09,0.0,0.0,,36.51,0.0,0.0,0.0,,92.95,3.24,86.59960000000001,99.3004,138.9,14.03,111.4012,166.3988,47.25,9.85,13.0,7.0,8.1,0.0,0.0,HDER,control,33963974_Oral Ospanov_HDER,7.0;13.0,20.0,47.25(9.85),101.13(26.09),36.51(0.0),138.9(14.03),92.95(3.24)
5,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,To compare the treatment modalities in terms of changes in BMI and telomere length (as a possible biomarker of life expectan cy) and resolution of MetS components.,RCT,Kazakhstan,60.0,Both,Change in BMI,"Change in leukocyte telomere length and other MetS components including insulin resistance, dyslipidemia and hypertension","Patients with BMI ranging between 35 and 50, with MetS characterised by hypertension, prediabetic with obesity and T2D ",108.95,15.69,0.0,0.0,,39.88,0.0,0.0,0.0,,92.25,3.97,84.4688,100.0312,135.8,6.93,122.21720000000002,149.3828,38.6,6.89,18.0,2.0,5.8,0.0,0.0,LOAGB-OSPAN,intervention,33963974_Oral Ospanov_LOAGB-OSPAN,2.0;18.0,20.0,38.6(6.89),108.95(15.69),39.88(0.0),135.8(6.93),92.25(3.97)
6,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,To compare the treatment modalities in terms of changes in BMI and telomere length (as a possible biomarker of life expectan cy) and resolution of MetS components.,RCT,Kazakhstan,60.0,Both,Change in BMI,"Change in leukocyte telomere length and other MetS components including insulin resistance, dyslipidemia and hypertension","Patients with BMI ranging between 35 and 50, with MetS characterised by hypertension, prediabetic with obesity and T2D ",128.95,23.71,0.0,0.0,,45.91,0.0,0.0,0.0,,93.9,4.15,85.766,102.034,142.4,25.11,93.18440000000001,191.6156,48.7,8.54,15.0,5.0,5.5,0.0,0.0,LMGB-OAGB,intervention,33963974_Oral Ospanov_LMGB-OAGB,5.0;15.0,20.0,48.7(8.54),128.95(23.71),45.91(0.0),142.4(25.11),93.9(4.15)
7,32805133,10.7326/M19-3781,Carlos A Schiavon,2020,EUR,To determine the 3-year effects of Roux-en-Y gastric bypass (RYGB) on blood pressure (BP) compared with medical therapy (MT) alone,Randomised controlled trial,Brazil,100.0,Both,30% reduction in total number of antihypertensive medications while maintaining BP less than 140/90 mm Hg,"Number of antihypertensive medications, hypertension remission, and BP control according to current guidelines (<130/80 mm Hg)",Participants with hypertension receiving at least 2 medications and BMI ranging between 30 and 39.9 kg/m2 aged 18 to 65 years.,100.1,0.0,96.3,103.9,,36.4,2.9,35.5,37.4,,77.3,0.0,74.5,80.2,122.8,0.0,118.5,127.0,44.6,9.2,35.0,15.0,0.0,0.0,0.0,MT,control,32805133_Carlos A Schiavon_MT,15.0;35.0,50.0,44.6(9.2),100.1(0.0),36.4(2.9),122.8(0.0),77.3(0.0)
8,32805133,10.7326/M19-3781,Carlos A Schiavon,2020,EUR,To determine the 3-year effects of Roux-en-Y gastric bypass (RYGB) on blood pressure (BP) compared with medical therapy (MT) alone,Randomised controlled trial,Brazil,100.0,Both,30% reduction in total number of antihypertensive medications while maintaining BP less than 140/90 mm Hg,"Number of antihypertensive medications, hypertension remission, and BP control according to current guidelines (<130/80 mm Hg)",Participants with hypertension receiving at least 2 medications and BMI ranging between 30 and 39.9 kg/m2 aged 18 to 65 years.,102.0,0.0,98.1,105.8,,37.4,2.4,32.696,42.104,,77.6,0.0,74.7,80.5,123.0,0.0,118.7,127.2,43.1,9.2,41.0,9.0,0.0,0.0,0.0,RYGBplusMT,intervention,32805133_Carlos A Schiavon_RYGBplusMT,9.0;41.0,50.0,43.1(9.2),102.0(0.0),37.4(2.4),123.0(0.0),77.6(0.0)
9,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,"The aim of this study was to perform a comparison of the operative and postoperative outcomes regarding BMI, asso ciated medical conditions, and nutritional status between the standard RYGB (BPL: 50 cm and AL: 150 cm) and long RYGB (BPL: 100 cm and AL: 100 cm) for up to 3 years postoperatively.",Randomised prospective trial,Egypt,150.0,Both,"BMI, % of total weight loss (%TWL)","effect on diabetes (DM), hypertension (HTN), dyslipidemia, and nutritional statuses","Participants with BMI between 40-50 kg/m2 and with hypertension, diabetes and dyslipidemia",126.26,8.213,0.0,0.0,,45.3749,2.9261,39.63974399999999,51.110056,,95.74,8.963,78.17251999999999,113.30748,136.84,7.97,121.2188,152.4612,47.04,7.411,37.0,20.0,0.0,0.0,0.0,L-RYGB,control,34981324_Moheb S Eskandaros _L-RYGB,20.0;37.0,57.0,47.04(7.411),126.26(8.213),45.3749(2.9261),136.84(7.97),95.74(8.963)
10,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,"The aim of this study was to perform a comparison of the operative and postoperative outcomes regarding BMI, asso ciated medical conditions, and nutritional status between the standard RYGB (BPL: 50 cm and AL: 150 cm) and long RYGB (BPL: 100 cm and AL: 100 cm) for up to 3 years postoperatively.",Randomised prospective trial,Egypt,150.0,Both,"BMI, % of total weight loss (%TWL)","effect on diabetes (DM), hypertension (HTN), dyslipidemia, and nutritional statuses","Participants with BMI between 40-50 kg/m2 and with hypertension, diabetes and dyslipidemia",127.33,7.488,0.0,0.0,,46.25,2.515,41.3206,51.1794,,93.47,7.92,77.9468,108.9932,139.28,10.091,119.50164000000001,159.05836,46.72,8.352,42.0,22.0,0.0,0.0,0.0,S-RYGB,intervention,34981324_Moheb S Eskandaros _S-RYGB,22.0;42.0,64.0,46.72(8.352),127.33(7.488),46.25(2.515),139.28(10.091),93.47(7.92)
11,29133606,10.1161/CIRCULATIONAHA.117.032130,Carlos Aurelio Schiavon ,2018,Mixed,To assess the impact of bariatric surgery on hypertension improvement in patients with obesity.,RCT,Brazil,100.0,Both,"primary end point was reduction of ≥30% of the total number of antihypertensive medications while maintaining systolic and diastolic blood pressure <140 mm Hg and 90 mm Hg, respectively, at 12 months.","Secondary end points included number of antihypertensive drugs, systolic and blood pressure (offic and 24-hour ABPM), weight and BMI, waist circumference, fasting plasma glucose and glycohemoglobin, homeostasis model assessment of insulin resistance index, lipid profil (low-density lipoprotein cholesterol, high-density lipoprotein cholesterol, and triglycerides levels), uric acid, high-sensitivity C-reactive protein levels, interventricular septum diastolic thickness, a 10-year Framingham risk score, and adverse events. secondary end points defined post hoc: remission of hypertension (defined as systolic and diastolic blood pressure <140 mm Hg and 90 mm Hg, respectively, with out medications based on office blood pressure), remission of hypertension (defined as systolic and diastolic blood pressure <140 mm Hg and 90 mm Hg, respectively, without medica tions based on 24-hour ABPM), and reduction of ≥30% of the total number of antihypertensive medications while maintain ing an office systolic blood pressure <120 mm Hg (SPRINT lev els [Systolic Blood Pressure Intervention Trial]) at 12 months.",Patients btw 18-65 years with hypertension; BMI between 30-39.9 and taking at least 2 antihypertensive medication,102.0,13.6,0.0,0.0,,37.4,2.4,32.696,42.104,,77.6,7.0,63.879999999999995,91.32,123.0,11.6,100.264,145.736,43.1,9.2,41.0,9.0,0.0,0.0,0.0,RYGBplusMT,intervention,29133606_Carlos Aurelio Schiavon _RYGBplusMT,9.0;41.0,50.0,43.1(9.2),102.0(13.6),37.4(2.4),123.0(11.6),77.6(7.0)
12,29133606,10.1161/CIRCULATIONAHA.117.032130,Carlos Aurelio Schiavon ,2018,Mixed,To assess the impact of bariatric surgery on hypertension improvement in patients with obesity.,RCT,Brazil,100.0,Both,"primary end point was reduction of ≥30% of the total number of antihypertensive medications while maintaining systolic and diastolic blood pressure <140 mm Hg and 90 mm Hg, respectively, at 12 months.","Secondary end points included number of antihypertensive drugs, systolic and blood pressure (offic and 24-hour ABPM), weight and BMI, waist circumference, fasting plasma glucose and glycohemoglobin, homeostasis model assessment of insulin resistance index, lipid profil (low-density lipoprotein cholesterol, high-density lipoprotein cholesterol, and triglycerides levels), uric acid, high-sensitivity C-reactive protein levels, interventricular septum diastolic thickness, a 10-year Framingham risk score, and adverse events. secondary end points defined post hoc: remission of hypertension (defined as systolic and diastolic blood pressure <140 mm Hg and 90 mm Hg, respectively, with out medications based on office blood pressure), remission of hypertension (defined as systolic and diastolic blood pressure <140 mm Hg and 90 mm Hg, respectively, without medica tions based on 24-hour ABPM), and reduction of ≥30% of the total number of antihypertensive medications while maintain ing an office systolic blood pressure <120 mm Hg (SPRINT lev els [Systolic Blood Pressure Intervention Trial]) at 12 months.",Patients btw 18-65 years with hypertension; BMI between 30-39.9 and taking at least 2 antihypertensive medication,100.1,14.0,0.0,0.0,,36.4,2.9,30.715999999999998,42.083999999999996,,78.0,9.3,59.772,96.22800000000001,122.8,12.9,97.51599999999999,148.084,44.6,9.2,35.0,15.0,0.0,0.0,0.0,MT,control,29133606_Carlos Aurelio Schiavon _MT,15.0;35.0,50.0,44.6(9.2),100.1(14.0),36.4(2.9),122.8(12.9),78.0(9.3)
13,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,"To compare diabetes remission rates (glycosylated hemoglobin  6.0%, without diabetes medications) in obese T2D patients (body mass index, 35–50) undergoing RYGB or SG.",Randomised controlled trial,Sweden,49.0,Both,Remission of T2D within 1 year,"30-day surgical complication rates, weight loss, measured as reduc tion in BMI units, total weight loss (in kilograms), and per centage excess weight loss, as well as percentage weight loss, resolution of other co-morbidities associated with obesity and T2D.",Obese T2D patients with BMI of 35-50 kg/m2,119.0,15.4,0.0,0.0,,39.5,3.7,32.248,46.752,,86.8,8.4,70.336,103.264,137.9,15.9,106.736,169.06400000000002,49.1,9.2,12.0,13.0,0.0,0.0,0.0,RYGB,intervention,32540150_Ville Wallenius _RYGB,13.0;12.0,25.0,49.1(9.2),119.0(15.4),39.5(3.7),137.9(15.9),86.8(8.4)
14,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,"To compare diabetes remission rates (glycosylated hemoglobin  6.0%, without diabetes medications) in obese T2D patients (body mass index, 35–50) undergoing RYGB or SG.",Randomised controlled trial,Sweden,49.0,Both,Remission of T2D within 1 year,"30-day surgical complication rates, weight loss, measured as reduc tion in BMI units, total weight loss (in kilograms), and per centage excess weight loss, as well as percentage weight loss, resolution of other co-morbidities associated with obesity and T2D.",Obese T2D patients with BMI of 35-50 kg/m2,120.0,19.2,0.0,0.0,,40.8,4.1,32.763999999999996,48.836,,83.2,12.5,58.7,107.7,131.3,16.1,99.74400000000001,162.85600000000002,47.0,10.7,11.0,13.0,0.0,0.0,0.0,SG,control,32540150_Ville Wallenius _SG,13.0;11.0,24.0,47.0(10.7),120.0(19.2),40.8(4.1),131.3(16.1),83.2(12.5)
15,25919069, 10.1089/met.2014.0152,Fernando de Barros ,2015,Mixed,"To compare the early changes in endocrine–metabolic parameters associated with SG and GB, particularly with regard to the early remission of co-morbidities before significant weight loss",RCT,Brazil,51.0,Both,glycemic control 90 days after surgery,"secondary end points were the EWL90, a fall in HbA1c, systolic blood pressure (SBP), diastolic blood pressure ,14 15 (DBP), and lipid profile, and changes in hemoglobin, iron, ferritin, vitamin B12, folic acid, albumin, and uric acid.",Grade III morbidly obese participants older than 18 but less than 65 years.,123.22,19.78,0.0,0.0,98.9-177,45.62,6.51,32.8604,58.379599999999996,40-67.4,90.0,11.37,67.7148,112.2852,139.2,14.84,110.11359999999999,168.2864,38.24,9.51,23.0,2.0,0.0,0.0,0.0,SG,control,25919069_Fernando de Barros _SG,2.0;23.0,25.0,38.24(9.51),123.22(19.78),45.62(6.51),139.2(14.84),90.0(11.37)
16,25919069, 10.1089/met.2014.0152,Fernando de Barros ,2015,Mixed,"To compare the early changes in endocrine–metabolic parameters associated with SG and GB, particularly with regard to the early remission of co-morbidities before significant weight loss",RCT,Brazil,51.0,Both,glycemic control 90 days after surgery,"secondary end points were the EWL90, a fall in HbA1c, systolic blood pressure (SBP), diastolic blood pressure ,14 15 (DBP), and lipid profile, and changes in hemoglobin, iron, ferritin, vitamin B12, folic acid, albumin, and uric acid.",Grade III morbidly obese participants older than 18 but less than 65 years.,128.27,21.45,0.0,0.0,93.6-177.0,49.24,7.99,33.5796,64.9004,40.4-69.6,86.8,5.93,75.1772,98.4228,134.2,8.12,118.28479999999999,150.1152,35.2,10.83,23.0,2.0,0.0,0.0,0.0,GB,intervention,25919069_Fernando de Barros _GB,2.0;23.0,25.0,35.2(10.83),128.27(21.45),49.24(7.99),134.2(8.12),86.8(5.93)
17,34554379,10.1007/s11695-021-05702-5,Alan Robson,2021,EUR,"The study aimed to verify the systemic inflammatory response through the analysis of IGF-1, IL-23, and resistin levels and the lipid profile in severely obese women undergoing surgery for obesity and weight-related diseases.",RCT,Brazil,75.0,Female,"Systemic inflam matory profile 6 months after BS, as characterized by the blood levels of the inflammatory markers IGF-1, IL-23, and resistin",Any changes in clinical and anthropometric variables,Women with severe class III obesity with BMI above 40 and above 35 with comorbidities. the control constituted of those who did not meet the inclusion criteria and had no urgent need for surgery.,112.64,17.12,0.0,0.0,,46.35,5.46,35.6484,57.0516,,86.96,7.15,72.946,100.97399999999999,126.2,7.42,111.6568,140.7432,42.09,12.69,11.0,0.0,0.0,0.0,0.0,CG,control,34554379_Alan Robson_CG,0.0;11.0,11.0,42.09(12.69),112.64(17.12),46.35(5.46),126.2(7.42),86.96(7.15)
18,34554379,10.1007/s11695-021-05702-5,Alan Robson,2021,EUR,"The study aimed to verify the systemic inflammatory response through the analysis of IGF-1, IL-23, and resistin levels and the lipid profile in severely obese women undergoing surgery for obesity and weight-related diseases.",RCT,Brazil,75.0,Female,"Systemic inflam matory profile 6 months after BS, as characterized by the blood levels of the inflammatory markers IGF-1, IL-23, and resistin",Any changes in clinical and anthropometric variables,Women with severe class III obesity with BMI above 40 and above 35 with comorbidities. the control constituted of those who did not meet the inclusion criteria and had no urgent need for surgery.,125.48,20.35,0.0,0.0,,47.25,6.22,35.058800000000005,59.441199999999995,,87.6,15.55,57.12199999999999,118.078,129.58,17.74,94.80960000000002,164.3504,42.46,9.8,50.0,0.0,0.0,0.0,0.0,RYGB,intervention,34554379_Alan Robson_RYGB,0.0;50.0,50.0,42.46(9.8),125.48(20.35),47.25(6.22),129.58(17.74),87.6(15.55)
19,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,"To examine the effects of a nonsurgical approach, Intensive Life style Intervention (ILI) on the therapy of morbid obesity",Randomised controlled trial,Spain,143.0,Both,Change in body weight and body mass index,"Percentage change fast- ing plasma Glucose (FPG), glycosylated haemoglobin (HbA1c) levels, blood pressure (BP) and levels of fasting lipids obtained at baseline and every 3 months after initiation of the interven- tion.",Morbidly obese participants,122.24,20.05,0.0,0.0,,45.79,4.97,36.0488,55.5312,,86.83,9.98,67.2692,106.3908,131.85,18.74,95.11959999999999,168.5804,47.84,11.52,43.0,17.0,0.0,0.0,0.0,ILI,control,23163735_Juan Jesús Tur_ILI,17.0;43.0,60.0,47.84(11.52),122.24(20.05),45.79(4.97),131.85(18.74),86.83(9.98)
