,pmid,doi,author,publicationyear,population,studyaim,studydesign,studysetting,totalsamplesize,sex,primaryoutcome,secondaryoutcomes,note,meanweight,meanwt_sd,lowerboundweight,upperboundweight,rangeweight,meanBMI,meanBMI_sd,lowerboundBMI,upperboundBMI,rangeBMI,meanDBP,meanDBP_sd,lowerboundDBP,upperboundDBP,meanSBP,meanSBP_sd,lowerboundSBP,upperboundSBP,meanAGE,meanAGE_sd,noofFEMALES,noofMALES,changeinbabaseBMI,changeinbabaseDBP,changeinbabaseSBP,extracted_portion,intervention_control,pmid_author_intervention,Males;Females,Sample(n),"Age (mean,sd)","Weight (mean,sd)","BMI (mean,sd)","SBP (mean,sd)","DBP (mean,sd)"
20,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,"To examine the effects of a nonsurgical approach, Intensive Life style Intervention (ILI) on the therapy of morbid obesity",Randomised controlled trial,Spain,143.0,Both,Change in body weight and body mass index,"Percentage change fast- ing plasma Glucose (FPG), glycosylated haemoglobin (HbA1c) levels, blood pressure (BP) and levels of fasting lipids obtained at baseline and every 3 months after initiation of the interven- tion.",Morbidly obese participants,132.81,24.37,0.0,0.0,,49.23,5.85,37.763999999999996,60.696,,82.84,8.88,65.43520000000001,100.2448,132.57,14.43,104.2872,160.8528,44.12,9.84,26.0,11.0,0.0,0.0,0.0,SOG,intervention,23163735_Juan Jesús Tur_SOG,11.0;26.0,37.0,44.12(9.84),132.81(24.37),49.23(5.85),132.57(14.43),82.84(8.88)
21,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,"To examine the effects of a nonsurgical approach, Intensive Life style Intervention (ILI) on the therapy of morbid obesity",Randomised controlled trial,Spain,143.0,Both,Change in body weight and body mass index,"Percentage change fast- ing plasma Glucose (FPG), glycosylated haemoglobin (HbA1c) levels, blood pressure (BP) and levels of fasting lipids obtained at baseline and every 3 months after initiation of the interven- tion.",Morbidly obese participants,126.02,17.9,0.0,0.0,,46.76,4.62,37.7048,55.8152,,86.61,9.99,67.0296,106.1904,136.07,13.97,108.68879999999999,163.4512,46.86,10.26,29.0,17.0,0.0,0.0,0.0,COT,control,23163735_Juan Jesús Tur_COT,17.0;29.0,46.0,46.86(10.26),126.02(17.9),46.76(4.62),136.07(13.97),86.61(9.99)
22,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,"Aimed at comparing the efficacy of two nonsurgical approaches versus bariatric surgery, on body weight changes and metabolic parameters in morbidly obese patients.",Randomised controlled trial,Spain,143.0,Both,Body weight in KGs and Body mass index in kg/m2.,"Percent changes in fasting plasma glucose (FPG), glycosylated hemoglobin (HbA1c), and blood pressure (BP) and of fasting lipids obtained at baseline and every three months after initi- ation of the intervention",Morbidly obese patients were selected to participate in the study BMI greater than 40 kg/m2.,122.2,20.1,0.0,0.0,,45.8,5.0,36.0,55.599999999999994,,86.8,10.0,67.19999999999999,106.4,131.9,18.7,95.248,168.55200000000002,47.8,11.5,43.0,17.0,0.0,0.0,0.0,ILI,control,194696_Bartolomé Burguera_ILI,17.0;43.0,60.0,47.8(11.5),122.2(20.1),45.8(5.0),131.9(18.7),86.8(10.0)
23,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,"Aimed at comparing the efficacy of two nonsurgical approaches versus bariatric surgery, on body weight changes and metabolic parameters in morbidly obese patients.",Randomised controlled trial,Spain,143.0,Both,Body weight in KGs and Body mass index in kg/m2.,"Percent changes in fasting plasma glucose (FPG), glycosylated hemoglobin (HbA1c), and blood pressure (BP) and of fasting lipids obtained at baseline and every three months after initi- ation of the intervention",Morbidly obese patients were selected to participate in the study BMI greater than 40 kg/m2.,126.0,17.9,0.0,0.0,,46.8,4.6,37.784,55.815999999999995,,86.6,10.0,67.0,106.19999999999999,136.1,14.0,108.66,163.54,46.9,10.3,29.0,17.0,0.0,0.0,0.0,COT,control,194696_Bartolomé Burguera_COT,17.0;29.0,46.0,46.9(10.3),126.0(17.9),46.8(4.6),136.1(14.0),86.6(10.0)
24,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,"Aimed at comparing the efficacy of two nonsurgical approaches versus bariatric surgery, on body weight changes and metabolic parameters in morbidly obese patients.",Randomised controlled trial,Spain,143.0,Both,Body weight in KGs and Body mass index in kg/m2.,"Percent changes in fasting plasma glucose (FPG), glycosylated hemoglobin (HbA1c), and blood pressure (BP) and of fasting lipids obtained at baseline and every three months after initi- ation of the intervention",Morbidly obese patients were selected to participate in the study BMI greater than 40 kg/m2.,132.8,24.4,0.0,0.0,,49.2,5.9,37.636,60.764,,82.8,8.9,65.356,100.244,132.6,14.4,104.37599999999999,160.82399999999998,44.1,9.8,26.0,11.0,0.0,0.0,0.0,SOG,intervention,194696_Bartolomé Burguera_SOG,11.0;26.0,37.0,44.1(9.8),132.8(24.4),49.2(5.9),132.6(14.4),82.8(8.9)
25,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,The aim of this study was to compare the efficacy and safety of 12-month implantation of a duodeno-jejunal bypass liner (DJBL) with conventional medical care in patients with metabolic syndrome (MS).,Randomised controlled trial,France,80.0,Both,primary aim was to evaluate the efficacy of DJBL in reducing MS prevalence at 1 year after implantation. Rate of resolution of MS.,"included body weight, glucose control (HbA1c and fasting blood glucose), blood pressure, lipids (plasma choles- terol, triglycerides). ","The participants had obesity, BMI greater than 30 kg/m2 and diagnosed with metabolic syndrome.",0.0,0.0,0.0,0.0,,38.4,0.0,36.8,39.9,,81.8,0.0,78.8,84.8,133.9,0.0,128.3,139.5,48.1,0.0,34.0,15.0,0.0,0.0,0.0,DJBL,intervention,32889869_Robert Caiazzo_DJBL,15.0;34.0,49.0,48.1(0.0),0.0(0.0),38.4(0.0),133.9(0.0),81.8(0.0)
26,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,The aim of this study was to compare the efficacy and safety of 12-month implantation of a duodeno-jejunal bypass liner (DJBL) with conventional medical care in patients with metabolic syndrome (MS).,Randomised controlled trial,France,80.0,Both,primary aim was to evaluate the efficacy of DJBL in reducing MS prevalence at 1 year after implantation. Rate of resolution of MS.,"included body weight, glucose control (HbA1c and fasting blood glucose), blood pressure, lipids (plasma choles- terol, triglycerides). ","The participants had obesity, BMI greater than 30 kg/m2 and diagnosed with metabolic syndrome.",0.0,0.0,0.0,0.0,,37.9,0.0,36.3,39.5,,81.7,0.0,76.5,86.4,138.0,0.0,129.9,146.1,46.7,0.0,20.0,11.0,0.0,0.0,0.0,MT,control,32889869_Robert Caiazzo_MT,11.0;20.0,31.0,46.7(0.0),0.0(0.0),37.9(0.0),138.0(0.0),81.7(0.0)
27,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,To evaluate safety and efficacy of the poseTM procedure for obesity treatment.,Randomised controlled trials,USA,332.0,Both,Total body weight loss,"Comorbidities resolution, triglycerides","Patients with class I and II obesity, aged between 22 and 6o years",98.7,11.6,0.0,0.0,,36.2,2.2,31.888,40.512,,79.44,0.0,0.0,0.0,133.0,0.0,0.0,0.0,45.3,9.1,101.0,10.0,0.0,0.0,0.0,Sham,control,28000425_Shelby Sullivan_Sham,10.0;101.0,111.0,45.3(9.1),98.7(11.6),36.2(2.2),133.0(0.0),79.44(0.0)
28,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,To evaluate safety and efficacy of the poseTM procedure for obesity treatment.,Randomised controlled trials,USA,332.0,Both,Total body weight loss,"Comorbidities resolution, triglycerides","Patients with class I and II obesity, aged between 22 and 6o years",99.7,12.2,0.0,0.0,,36.0,2.4,31.296,40.704,,77.97,0.0,0.0,0.0,132.3,0.0,0.0,0.0,44.2,8.6,195.0,26.0,0.0,0.0,0.0,POSE,intervention,28000425_Shelby Sullivan_POSE,26.0;195.0,221.0,44.2(8.6),99.7(12.2),36.0(2.4),132.3(0.0),77.97(0.0)
29,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,"This study examined resolution of hyperglycemia (A1C ,6.5% and fasting glucose ,126 mg/dL) 3 years after randomization to either a laparoscopic adjustable gastric band (LAGB) or 1-year diabetes and weight management (DWM) program.",Randomised controlled trials,USA,40.0,Both,"To attain normoglycemia, defined as fasting plasma glucose ,126 mg/dL and A1C ,6.5% at 1 year whether or not pharmacologic treatment was used",Patient reported outcomes e.g quality of life.,"The study participants had T2D for more than 1 year, aged between 21 and 65 years with a BMI between 30 and 45.",106.8,10.4,0.0,0.0,,36.4,3.0,30.52,42.28,,79.1,5.3,68.71199999999999,89.488,128.5,7.4,113.996,143.004,51.0,12.7,9.0,9.0,0.0,0.0,0.0,LAGB,intervention,31931977_Donald C Simonson _LAGB,9.0;9.0,18.0,51.0(12.7),106.8(10.4),36.4(3.0),128.5(7.4),79.1(5.3)
30,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,"This study examined resolution of hyperglycemia (A1C ,6.5% and fasting glucose ,126 mg/dL) 3 years after randomization to either a laparoscopic adjustable gastric band (LAGB) or 1-year diabetes and weight management (DWM) program.",Randomised controlled trials,USA,40.0,Both,"To attain normoglycemia, defined as fasting plasma glucose ,126 mg/dL and A1C ,6.5% at 1 year whether or not pharmacologic treatment was used",Patient reported outcomes e.g quality of life.,"The study participants had T2D for more than 1 year, aged between 21 and 65 years with a BMI between 30 and 45.",111.6,17.9,0.0,0.0,,36.7,4.2,28.468000000000004,44.932,,80.9,8.1,65.024,96.77600000000001,126.2,13.0,100.72,151.68,51.6,7.5,9.0,13.0,0.0,0.0,0.0,DWM,control,31931977_Donald C Simonson _DWM,13.0;9.0,22.0,51.6(7.5),111.6(17.9),36.7(4.2),126.2(13.0),80.9(8.1)
31,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,To evaluate the effect of a long biliopancreatic limb RYGB (LBP-GB) and standard RYGB (S-GB) as revisional procedure after laparoscopic adjustable gastric band,RCT,Netherlands,146.0,Both,%TBWL over a period of 4 years,"Reduction of obesity related co-morbidities (type 2 diabetes [T2D], hypertension [HT], and dyslipi- demia [DL]), perioperative complications, and quality of life (QoL)","These are participants who had previously undergone LAGB, however they were deemed failed since they did not achieve much weightless and thus recommended revisional RYGB. They have T2D,Hyperlipidemia and hypertension.",121.0,16.0,0.0,0.0,,42.0,4.0,34.16,49.84,,93.0,8.0,77.32,108.68,146.0,16.0,114.64,177.36,47.0,7.0,57.0,15.0,0.0,0.0,0.0,S-GB,control,30471927_Boerboom Abel_S-GB,15.0;57.0,72.0,47.0(7.0),121.0(16.0),42.0(4.0),146.0(16.0),93.0(8.0)
32,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,To evaluate the effect of a long biliopancreatic limb RYGB (LBP-GB) and standard RYGB (S-GB) as revisional procedure after laparoscopic adjustable gastric band,RCT,Netherlands,146.0,Both,%TBWL over a period of 4 years,"Reduction of obesity related co-morbidities (type 2 diabetes [T2D], hypertension [HT], and dyslipi- demia [DL]), perioperative complications, and quality of life (QoL)","These are participants who had previously undergone LAGB, however they were deemed failed since they did not achieve much weightless and thus recommended revisional RYGB. They have T2D,Hyperlipidemia and hypertension.",123.0,20.0,0.0,0.0,,43.0,5.0,33.2,52.8,,95.0,11.0,73.44,116.56,151.0,19.0,113.75999999999999,188.24,47.0,9.0,61.0,11.0,0.0,0.0,0.0,LBP-GB,intervention,30471927_Boerboom Abel_LBP-GB,11.0;61.0,72.0,47.0(9.0),123.0(20.0),43.0(5.0),151.0(19.0),95.0(11.0)
33,23736733,10.1001/jama.2013.5835,Sayeed Ikramuddin,2013,Mixed,To compare Roux-en-Y gastric bypass with lifestyle and intensive medi cal management to achieve control of comorbid risk factors.,RCT,USA_Taiwan,120.0,Both,"An HbA1c of less than 7.0%, an LDL cholesterol level of less than 100 mg/dL (to convert to millimoles per liter, multiply by 0.0259), and systolic blood pressure less than 130 mm Hg, at the 12-month visit.","weight loss, adverse events, fasting glucose, HbA1c levels less than 6.0%, high-density lipoprotein (HDL) cholesterol and triglycerides levels, diastolic blood pressure, waist circum ference, and medications.",Participants had BMI between 30 and 39 and diagnosed with Diabetes at least for six months,98.8,14.0,0.0,0.0,,34.9,3.0,29.02,40.78,,78.0,12.0,54.480000000000004,101.52,127.0,15.0,97.6,156.4,49.0,9.0,38.0,22.0,0.0,0.0,0.0,RYGBplusLMM,intervention,23736733_Sayeed Ikramuddin_RYGBplusLMM,22.0;38.0,60.0,49.0(9.0),98.8(14.0),34.9(3.0),127.0(15.0),78.0(12.0)
34,23736733,10.1001/jama.2013.5835,Sayeed Ikramuddin,2013,Mixed,To compare Roux-en-Y gastric bypass with lifestyle and intensive medi cal management to achieve control of comorbid risk factors.,RCT,USA_Taiwan,120.0,Both,"An HbA1c of less than 7.0%, an LDL cholesterol level of less than 100 mg/dL (to convert to millimoles per liter, multiply by 0.0259), and systolic blood pressure less than 130 mm Hg, at the 12-month visit.","weight loss, adverse events, fasting glucose, HbA1c levels less than 6.0%, high-density lipoprotein (HDL) cholesterol and triglycerides levels, diastolic blood pressure, waist circum ference, and medications.",Participants had BMI between 30 and 39 and diagnosed with Diabetes at least for six months,97.9,17.0,0.0,0.0,,34.3,3.1,28.223999999999997,40.376,,79.0,10.0,59.4,98.6,132.0,14.0,104.56,159.44,49.0,8.0,34.0,26.0,0.0,0.0,0.0,LMM,control,23736733_Sayeed Ikramuddin_LMM,26.0;34.0,60.0,49.0(8.0),97.9(17.0),34.3(3.1),132.0(14.0),79.0(10.0)
35,1234567,https://doi.org/10.31925/farmacia.2019.1.13,Liviu Iosif,2019,EUR,To examine the impact of weight loss on oxidant-antioxidant profile in obese T2D patients,Randomised controlled trial,Romania,38.0,Male,Glycated haemoglobin levels HbA1c < 6%,Oxidative stress markers including adiponectin and leptin,"Obese male participants aged 30-65 years of age, BMI greater than 30 kg/m2 with T2D between 1 to 15 years.",0.0,0.0,0.0,0.0,,40.5,8.6,23.644000000000002,57.355999999999995,,90.0,10.0,70.4,109.6,135.0,12.0,111.48,158.52,0.0,0.0,0.0,17.0,0.0,0.0,0.0,DTG,control,1234567_Liviu Iosif_DTG,17.0;0.0,17.0,0.0(0.0),0.0(0.0),40.5(8.6),135.0(12.0),90.0(10.0)
36,1234567,https://doi.org/10.31925/farmacia.2019.1.13,Liviu Iosif,2019,EUR,To examine the impact of weight loss on oxidant-antioxidant profile in obese T2D patients,Randomised controlled trial,Romania,38.0,Male,Glycated haemoglobin levels HbA1c < 6%,Oxidative stress markers including adiponectin and leptin,"Obese male participants aged 30-65 years of age, BMI greater than 30 kg/m2 with T2D between 1 to 15 years.",0.0,0.0,0.0,0.0,,39.6,4.9,29.996000000000002,49.204,,80.0,10.0,60.4,99.6,130.0,13.75,103.05,156.95,0.0,0.0,0.0,19.0,0.0,0.0,0.0,LSG,intervention,1234567_Liviu Iosif_LSG,19.0;0.0,19.0,0.0(0.0),0.0(0.0),39.6(4.9),130.0(13.75),80.0(10.0)
37,23706413,10.1016/j.diabres.2013.04.005,Liang Ziwen,2013,East Asian,Comparing the efficacy of RYGB with usual medical care and Exenatide therapy in obese T2DM with hyperten,RCT,China,108.0,Both,"Change in cardiac function in patients undergoing RYGB surgery, usual care or GLP-1 therapy","secondary aims were to assess changes in metabolic parameters (BMI, HbA1c, HOMA-IR and lipids) and inflammation (hs-CRP, TNF-a, HMW-adiponectin) after a 12- month treatment period.","Obese people with T2DM and hypertension, BMI must be greater than 28 kg/m2 and lived with hypertension between 5 -10 years.",81.97,3.53,0.0,0.0,,30.48,0.94,28.6376,32.3224,,88.58,5.53,77.74119999999999,99.4188,160.81,7.77,145.5808,176.0392,50.81,5.44,9.0,22.0,0.0,0.0,0.0,RYGB,intervention,23706413_Liang Ziwen_RYGB,22.0;9.0,31.0,50.81(5.44),81.97(3.53),30.48(0.94),160.81(7.77),88.58(5.53)
38,23706413,10.1016/j.diabres.2013.04.005,Liang Ziwen,2013,East Asian,Comparing the efficacy of RYGB with usual medical care and Exenatide therapy in obese T2DM with hyperten,RCT,China,108.0,Both,"Change in cardiac function in patients undergoing RYGB surgery, usual care or GLP-1 therapy","secondary aims were to assess changes in metabolic parameters (BMI, HbA1c, HOMA-IR and lipids) and inflammation (hs-CRP, TNF-a, HMW-adiponectin) after a 12- month treatment period.","Obese people with T2DM and hypertension, BMI must be greater than 28 kg/m2 and lived with hypertension between 5 -10 years.",81.31,4.97,0.0,0.0,,30.94,1.96,27.0984,34.7816,,87.83,6.81,74.4824,101.1776,156.6,11.81,133.45239999999998,179.7476,51.75,6.7,12.0,24.0,0.0,0.0,0.0,usualcare,control,23706413_Liang Ziwen_usualcare,24.0;12.0,36.0,51.75(6.7),81.31(4.97),30.94(1.96),156.6(11.81),87.83(6.81)
39,23706413,10.1016/j.diabres.2013.04.005,Liang Ziwen,2013,East Asian,Comparing the efficacy of RYGB with usual medical care and Exenatide therapy in obese T2DM with hyperten,RCT,China,108.0,Both,"Change in cardiac function in patients undergoing RYGB surgery, usual care or GLP-1 therapy","secondary aims were to assess changes in metabolic parameters (BMI, HbA1c, HOMA-IR and lipids) and inflammation (hs-CRP, TNF-a, HMW-adiponectin) after a 12- month treatment period.","Obese people with T2DM and hypertension, BMI must be greater than 28 kg/m2 and lived with hypertension between 5 -10 years.",81.76,3.67,0.0,0.0,,30.28,1.44,27.4576,33.1024,,85.83,11.0,64.27,107.39,159.94,8.63,143.02519999999998,176.8548,50.94,5.89,10.0,24.0,0.0,0.0,0.0,usualcareplusexenatide,control,23706413_Liang Ziwen_usualcareplusexenatide,24.0;10.0,34.0,50.94(5.89),81.76(3.67),30.28(1.44),159.94(8.63),85.83(11.0)
40,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed, To test the feasibility of methods to conduct a larger multisite trial to determine the long-term effect of Roux-en-Y gastric bypass (RYGB) surgery compared with an intensive diabetes medical and weight management (Weight Achievement and Intensive Treatment [Why WAIT]) program for type 2 diabetes.,Randomised controlled trials,USA,43.0,Both,To attain glycemic control and HbA1c below 6.5%) at 1 year of follow-up.," Measures of cardiometabolic health, and patient-reported outcomes",Participants are persons aged between 21 and 65 years of age diagnosed with T2D more than 1 year before the study. BMI (30 to 42). All participants were receiving antihyperglycemic medications.,102.7,17.0,0.0,0.0,,36.5,3.4,29.836,43.164,,76.6,8.8,59.35199999999999,93.848,126.3,14.7,97.488,155.112,52.6,4.3,10.0,9.0,0.0,0.0,0.0,WhyWAIT,control,24899464_Florencia Halperin_WhyWAIT,9.0;10.0,19.0,52.6(4.3),102.7(17.0),36.5(3.4),126.3(14.7),76.6(8.8)
41,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed, To test the feasibility of methods to conduct a larger multisite trial to determine the long-term effect of Roux-en-Y gastric bypass (RYGB) surgery compared with an intensive diabetes medical and weight management (Weight Achievement and Intensive Treatment [Why WAIT]) program for type 2 diabetes.,Randomised controlled trials,USA,43.0,Both,To attain glycemic control and HbA1c below 6.5%) at 1 year of follow-up.," Measures of cardiometabolic health, and patient-reported outcomes",Participants are persons aged between 21 and 65 years of age diagnosed with T2D more than 1 year before the study. BMI (30 to 42). All participants were receiving antihyperglycemic medications.,104.6,15.5,0.0,0.0,,36.0,3.5,29.14,42.86,,81.7,7.4,67.196,96.20400000000001,132.8,10.5,112.22000000000001,153.38,50.7,7.6,13.0,6.0,0.0,0.0,0.0,RYGB,intervention,24899464_Florencia Halperin_RYGB,6.0;13.0,19.0,50.7(7.6),104.6(15.5),36.0(3.5),132.8(10.5),81.7(7.4)
42,12345678,https://doi.org/10.1016/j.ajme.2012.07.002,Hala Mourad Demerdash,2012,AFR,"Theaimofthisworkwastostudytheeffectof2commonlyperformedbariatricsurgical procedures; laparoscopicRoux-en-Ygastricbypass(RYGBP)andlaparoscopicgastricband (BAND), onthecardiovascularriskprofileinmorbidlyobesepatientsanditscorrelationwit the plasmaapolipoprotein(apo)A-IVlevel.",Randomised prospective study,Egypt,40.0,Both,"Datacollectedincludedchangesofbodymassindex(BMI),bloodpressure,fastingblood sugar, fastingseruminsulin,insulinresistance(HOMA-IR)andlipidprofile.Inaddition,apoA-IV was determinedbytheWesternblottechnique.",,No proper description of the participants,142.7,22.6,0.0,0.0,,46.2,2.56,41.1824,51.217600000000004,,91.5,10.2,71.50800000000001,111.49199999999999,148.6,18.0,113.32,183.88,39.0,4.5,14.0,2.0,0.0,0.0,0.0,RYGB,intervention,12345678_Hala Mourad Demerdash_RYGB,2.0;14.0,16.0,39.0(4.5),142.7(22.6),46.2(2.56),148.6(18.0),91.5(10.2)
43,12345678,https://doi.org/10.1016/j.ajme.2012.07.002,Hala Mourad Demerdash,2012,AFR,"Theaimofthisworkwastostudytheeffectof2commonlyperformedbariatricsurgical procedures; laparoscopicRoux-en-Ygastricbypass(RYGBP)andlaparoscopicgastricband (BAND), onthecardiovascularriskprofileinmorbidlyobesepatientsanditscorrelationwit the plasmaapolipoprotein(apo)A-IVlevel.",Randomised prospective study,Egypt,40.0,Both,"Datacollectedincludedchangesofbodymassindex(BMI),bloodpressure,fastingblood sugar, fastingseruminsulin,insulinresistance(HOMA-IR)andlipidprofile.Inaddition,apoA-IV was determinedbytheWesternblottechnique.",,No proper description of the participants,138.7,22.98,0.0,0.0,,45.8,2.7,40.507999999999996,51.092,,92.5,10.0,72.9,112.1,146.2,17.82,111.27279999999999,181.1272,37.0,6.0,15.0,3.0,0.0,0.0,0.0,BAND,control,12345678_Hala Mourad Demerdash_BAND,3.0;15.0,18.0,37.0(6.0),138.7(22.98),45.8(2.7),146.2(17.82),92.5(10.0)
